Key,english
cntIDCAnimalSnareDesc,A chicken trap. Will trap a chicken to use in a chicken coop. Can be upgraded with tools.
cntMedicineCabinetPlayer,Medicine Cabinet
flagBlockVariantHelper,Flags
JailVariantHelper,Jail Doors
JailVariantHelper,Jail Doors
playerDoorSingleVariantHelper,Single Exterior Door
playerDoorDoubleVariantHelper,Double Exterior Door
playerDoorSideLightSingleVariantHelper,Single Door with sidelight
playerDoorSideLightVariantHelper,Door with sidelight
playerOldDoorSingleVariantHelper,Single Old Door
playerOldDoorDoubleVariantHelper,Double Old Door
playerScreenDoorVariantHelper,Screen Door
playerSlidingDoorVariantHelper,Sliding Door
playerFrenchDoorVariantHelper,Single French Door
playerFrenchDoorDoubleVariantHelper,Double French Door
playerInteriorHouseDoorVariantHelper,Single Interior Door
playerInteriorHouseDoorDoubleVariantHelper,Double Interior Door
playerClosetDoorVariantHelper,Single Closet Door
playerClosetDoorDoubleVariantHelper,Double Closet Door
playerPantryDoorVariantHelper,Pantry Door
playerDoorSingleVariantHelperBlock,"Craft various single exterior doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerDoorDoubleVariantHelperBlock,"Craft various double exterior doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerDoorSideLightSingleVariantHelperBlock,"Craft various single sidelight doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerDoorSideLightVariantHelperBlock,"Craft various double sidelight doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerOldDoorSingleVariantHelperBlock,"Craft various single old doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerOldDoorDoubleVariantHelperBlock,"Craft various double old doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerScreenDoorVariantHelperBlock,"Craft various screen doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerSlidingDoorVariantHelperBlock,"Craft various sliding doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerFrenchDoorVariantHelperBlock,"Craft various single French doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerFrenchDoorDoubleVariantHelperBlock,"Craft various double French doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerInteriorHouseDoorVariantHelperBlock,"Craft various single interior doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerInteriorHouseDoorDoubleVariantHelperBlock,"Craft various double interior doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerClosetDoorVariantHelperBlock,"Craft various single closet doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerClosetDoorDoubleVariantHelperBlock,"Craft various double closet doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
playerPantryDoorVariantHelperBlock,"Craft various pantry doors with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
HoistVariantHelper,Hoist Parts
barbedWireSpindleVariantHelper,Barbed Wire
barbedWireSpindleVariantHelperBlock,"Craft various barbed wire shapes with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
flagVariantHelper,"Craft various flags with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
jailBlockVariantHelper,"Craft various jail doors & bars with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
decoHoistVariantHelper,"Craft various hoists & hoist parts with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with."
idcMeatCooker,Meat Cooker
idcMeatCookerDesc,A meat cooker for the snare. It dropped out of culinary school so hopefully you like your steak well done.
idcEnhancedSkinningDevice,Enhanced Skinning Device
idcEnhancedSkinningDeviceDesc,An enhanced skinning device. Harvests more leather per roll.
idcUpgradedStorage,Upgraded Trap Storage
idcUpgradedStorageDesc,Trap more chickens!
idcBetterAnimalBait,Better Animal Bait
idcBetterAnimalBaitDesc,Strong smelling animal bait. Decreases production time by 20%.
idcAnimalBait,Animal Bait
idcAnimalBaitDesc,It attracts animals. Place in the animal snare.
idcXuiBaitSnare,Bait
ctnIDCBeehive,Beehive
ctnIDCBeehiveDesc,Produces honey.\n\nCan be crafted with any [FF4500]repair tool[-] in your [008000]inventory[-].
cntCompostBin,Composter
cntCompostBinDesc,"Produces fertilizer very slowly over time.\n\nCan be crafted with any [FF4500]repair tool[-] in your [008000]inventory[-]."
idcXuiBait,Bee
beehiveTreeStump,Beehive
honeyBeeDesc,A wild honey bee. Will produce up to 20 honey when placed in a bee hive.
honeyBee,Bee						 
goLootAbundanceDesc,The percentage of loot to spawn in containers and on zombies. 100% [FFC800]MINIMUM[-] is [FFC800]HIGHLY[-] recommended.
quest_WhiteRiverCitizen1_description,"This mod will challenge you in ways that the vanilla game doesn't,\nwhile keeping the familiar vanilla look & feel.\n\n[00FF00]Important Points![-]\nZombies only take MAXIMUM damage with [FFC800]headshots[-],[FFC800] fire[-], & [FFC800]explosives[-]!\nZombies[FF4500] DO NOT [-]bleed!\nThe Wasteland biome is [00FF00]IRRADIATED[-]! (a Hazmat suit is required)\n\nLoot is reduced, harvest counts are reduced, crafting costs more resources, and traders are more expensive.\n\nHave fun!!"
quest_WhiteRiverCitizen1,"Welcome to [FFC800]28 ALPHAS LATER[-]!"
quest_WhiteRiverCitizen1_description_title,28 Alphas Later

4x4Bundle,4x4
4x4BundleDesc,Take this bundle to where you want to place your 4x4 [FFC800]BEFORE[-] you open it!
ammoArrowWood,Wooden arrow
ammoArrowWoodDesc,"A basic arrow made from a branch.\n\nA pointy stick, effectively."
ammoCrossbowBoltWood,Wooden bolt
ammoCrossbowBoltWoodDesc,"A basic bolt made from a branch.\n\nA pointy stick, effectively."
animalBear,Grizzly Bear
animalChickenDesc,"A chicken. Use this in a chicken coop to produce eggs.\n\nMust be replaced periodically"
animalDireWolf,Timber Wolf
animalDoe,Mule Doe
animalSnake,Rattlesnake
animalStag,Mule Stag
animalWolf,Grey Wolf
antivenom,"Anti-venom"
antivenomDesc,"Use this to instantly remove the effects of venom.\n\nCan be crafted at the campfire, in a cooking pot, or use a beaker to save on ingredients."
armorSteelGroupDesc,Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Steel Armor Repair Kit.\nScrap to steel armor parts.
armorMilitaryGroupDesc,Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Military Armour Repair Kit.\nScrap to military armor parts.
attAgilityRank01LongDesc,"You are as clumsy as they come but you still do 200% head shot damage and have a 1% chance to dismember with bows, handguns, and knives."
attAgilityRank02LongDesc,"You didn't make the football team but that didn't stop you from practicing. Deal 210% head shot damage and have a 2% chance to dismember with bows, handguns and knives."
attAgilityRank03LongDesc,"You are still loud and clunky but can deal 220% head shot damage and have a 3% chance to dismember with bows, handguns and knives."
attAgilityRank04LongDesc,"Your dexterity is a bit inept, but you can deal 230% head shot damage and have a 4% chance to dismember with bows, handguns and knives."
attAgilityRank05LongDesc,"You are now agile and deal 240% head shot damage and have a 5% chance to dismember with bows, handguns and knives."
attAgilityRank06LongDesc,"Your movement is now very nimble and deal 250% head shot damage and have a 6% chance to dismember with bows, handguns and knives."
attAgilityRank07LongDesc,"Your dexterity is very impressive. Deal 260% head shot damage and have a 7% chance to dismember with bows, handguns and knives."
attAgilityRank08LongDesc,"Moving fluid and landing on your feet are second nature for you. Deal 270% head shot damage and have a 8% chance to dismember with bows, handguns and knives."
attAgilityRank09LongDesc,"Your agility is good enough you could be a professional athlete. Deal 285% head shot damage and have a 9% chance to dismember with bows, handguns and knives."
attAgilityRank10LongDesc,"Your dexterity is unmatched. Deal 300% head shot damage and have a 10% chance to dismember with bows, handguns and knives."
attFortitudeRank01LongDesc,You aren't very durable or healthy but at least you are alive. Deal 200% head shot damage and have a 1% chance to dismember with fists and machine guns.
attFortitudeRank02LongDesc,You feel a little better than you used to. Deal 210% head shot damage and have a 2% chance to dismember with fists and machine guns.
attFortitudeRank03LongDesc,You continue to defy gravity and keep standing. Deal 220% head shot damage and have a 3% chance to dismember with fists and machine guns.
attFortitudeRank04LongDesc,You are starting to feel like normal people. Deal 230% head shot damage and have a 4% chance to dismember with fists and machine guns.
attFortitudeRank05LongDesc,You are in good health. Deal 240% head shot damage and have a 5% chance to dismember with fists and machine guns.
attFortitudeRank06LongDesc,You are very healthy. Deal 250% head shot damage and have a 6% chance to dismember with fists and machine guns.
attFortitudeRank07LongDesc,You have vigorous health. Deal 260% head shot damage and have a 7% chance to dismember with fists and machine guns.
attFortitudeRank08LongDesc,You are as resilient as they come. Deal 270% head shot damage and have a 8% chance to dismember with fists and machine guns.
attFortitudeRank09LongDesc,You have an amazing constitution. Deal 285% head shot damage and have a 9% chance to dismember with fists and machine guns.
attFortitudeRank10LongDesc,Your have exuberant fortitude and can put a beat down on a tornado. Deal 300% head shot damage and have a 10% chance to dismember with fists and machine guns.
attIntellectRank10LongDesc,You are a mastermind of intellect. Deal 300% head shot damage and have a 10% chance to dismember with stun batons and Robotic turrets.
attIntellectRank1LongDesc,You are as dumb as box of rocks but you still do 200% head shot damage and have a 1% chance to dismember with stun batons and Robotic turrets.
attIntellectRank2LongDesc,"You aren't the brightest color in the box, but you occasionally hit the nail on the head. Deal 210% head shot damage and have a 2% chance to dismember with stun batons and Robotic turrets."
attIntellectRank3LongDesc,Even dimwits have a bright idea once in a while. Deal 220% head shot damage and have a 3% chance to dismember with stun batons and Robotic turrets.
attIntellectRank4LongDesc,You don't like to learn new stuff but you will if you have to. Deal 230% head shot damage and have a 4% chance to dismember with stun batons and Robotic turrets.
attIntellectRank5LongDesc,Being average is better than being below average. Deal 240% head shot damage and have a 5% chance to dismember with stun batons and Robotic turrets.
attIntellectRank6LongDesc,You are now getting pretty smart. Deal 250% head shot damage and have a 6% chance to dismember with stun batons and Robotic turrets.
attIntellectRank7LongDesc,Your peers consider you brilliant. Deal 260% head shot damage and have a 7% chance to dismember with stun batons and Robotic turrets.
attIntellectRank8LongDesc,Your intellect is quite impressive. Deal 270% head shot damage and have a 8% chance to dismember with stun batons and Robotic turrets.
attIntellectRank9LongDesc,You are now a true genius. Deal 285% head shot damage and have a 9% chance to dismember with stun batons and Robotic turrets.
attPerceptionRank01LongDesc,"You are pretty oblivious in the perception department. Deal 200% head shot damage and have a 1% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank02LongDesc,"You are still unaware to most things around you. Deal 210% head shot damage and have a 2% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank03LongDesc,"You are sometimes unobservant but getting better. Deal 220% head shot damage and have a 3% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank04LongDesc,"Your incognizant perception is usually just a small setback. Deal 230% head shot damage and have a 4% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank05LongDesc,"You are observant and notice just enough to make a big difference. Deal 240% head shot damage and have a 5% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank06LongDesc,"Your attention to detail is clearly aiding you in combat. Deal 250% head shot damage and have a 6% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank07LongDesc,"You can discern weak points in enemies with ease now. Deal 260% head shot damage and have a 7% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank08LongDesc,"Your perception is astounding. Deal 270% head shot damage and have a 8% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank09LongDesc,"Your awareness is astute. Deal 285% head shot damage and have a 9% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank10LongDesc,"You are unrivaled at making heads go boom.  Deal 300% head shot damage and have a 10% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attStrengthRank01LongDesc,"Everyone wants to be a bodybuilder but nobody wants to lift those heavy ass weights. Deal 200% head shot damage and have a 1% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank02LongDesc,"You might be scrawny but you have a fire inside to get big and strong. Deal 210% head shot damage and have a 2% chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank03LongDesc,"What is a milk drinker like you doing in the zombie apocalypse? Deal 220% head shot damage and have a 3% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank04LongDesc,"Your spare tire might keep you from starving but isn't helping you swing a sledgehammer. Deal 230% head shot damage and have a 4% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank05LongDesc,"You are fit and able to deal 240% head shot damage and have a 5% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank06LongDesc,"You are very strong and all the normies at the gym are envious. Deal 250% head shot damage and have a 6% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank07LongDesc,"Pumping clubs and sledgehammers has gave you some gains bro. Deal 260% head shot damage and have a 7% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank08LongDesc,"Your massive strength is legendary. Deal 270% head shot damage and have a 8% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank09LongDesc,"Size, strength and power are all champion level now. Deal 285% head shot damage and have a 9% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank10LongDesc,"You could be an Olympic champion if the apocalypse hadn't crushed that dream. Now you can just crush zombies. Deal 300% head shot damage and have a 10% greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
BarteringSauceFive,"Ultimate Sauce"
BarteringSauceFiveDesc,"This will make you an Ultimate Adventurer.\n\nPermanently gain access to the best trader items and get 25% more dukes.\nPick three quest rewards.\n\nGet a 25% better deal when buying & selling."
BarteringSauceFour,"Daring Sauce"
BarteringSauceFourDesc,"This will make you a Daring Adventurer.\n\nPermanently gain access to the best trader items and get 20% more dukes.\nPick two quest rewards.\n\nGet a 20% better deal when buying & selling."
BarteringSauceOne,"Looter's Sauce"
BarteringSauceOneDesc,"This will make you a Looter.\n\nPermanently gain access to better trader items and get 5% more dukes.\n\nGet a 5% better deal when buying & selling."
BarteringSauceThree,"Mercenary Sauce"
BarteringSauceThreeDesc,"This will make you a Mercenary.\n\nPermanently gain access to much better trader items and get 15% more dukes.\n\nGet a 15% better deal when buying & selling."
BarteringSauceTwo,"Plunderer's Sauce"
BarteringSauceTwoDesc,"This will make you a Plunderer.\n\nPermanently gain access to even better trader items and get 10% more dukes.\n\nGet a 10% better deal when buying & selling."
bedPlayer,King-size bed
bedGroupDesc,Placing a bed on the ground will allow you to respawn there when you die. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points. The bed shows on your map and compass and prevents zombie spawning near it.\n\nReceive a [008000]Well Rested[-] buff by standing on it while [ff4500]inside[-] and next to a [ff4500]campfire[-]. The king-size bed also heals you over time.
BowRepairKit,Bow Repair Kit
BowRepairKitDesc,This Repair Kit is used to repair bows and crossbows.
bucketRiverWaterDesc,Water can be dumped into an enclosed structure or hole in the ground to store it.\n\nIt is also an essential ingerdient in concrete mix.
buffBedHealHealthName,Healing
buffBedHealHealthDesc,"You are healing at 0.5 health per second while this buff is active.\n\nEntering combat or moving from the bed will remove this effect."
buffDespairCureDisplayName,Treated Despair
buffDespairCureDisplayDesc,You are feeling optimistic about your chances of surviving.
buffDespair01UntreatedName,Despair
buffDespair01UntreatedDesc,"You are not very optimistic about your survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nResting on a bed near a campfire while sheltered will help ..."
buffDespair01UntreatedTooltip,It's feeling a little hopeless ...
buffDespair01GetBetterName,Feeling Better
buffDespair01GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair02UntreatedName,Isolation
buffDespair02UntreatedDesc,"You are starting to feel worse about your chances of survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 12.5% slower."
buffDespair02GetBetterName,Feeling Better
buffDespair02GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair03UntreatedName,Depths of despair
buffDespair03UntreatedDesc,"You feel the outlook is bleak, and are close to giving up.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 25% slower.\nAll Attributes are lowered by 1."
buffDespair03GetBetterName,Feeling Better
buffDespair03GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair04Tooltip,The hopelessness of your situation has gotten too much for you to bear.
buffDespairCureDisplayPositive01Name,Hope
buffDespairCureDisplayPositive01Desc,"You are feeling hopeful and buoyant.\n\nYou have:\n5% decreased stamina loss.\n5% decreased health loss from damage taken.\n10% critical hit resistance."
buffDespairCureDisplayPositive02Name,Enthusiastic
buffDespairCureDisplayPositive02Desc,"You feel enthusiastic and cheerful.\n\nYou have:\n10% decreased stamina loss.\n10% decreased health loss from damage taken.\n15% critical hit resistance."
buffDespairCureDisplayPositive03Name,Confident
buffDespairCureDisplayPositive03Desc,"You are brimming with confidence and energy.\n\nYou have:\n15% decreased stamina loss.\n15% decreased health loss from damage taken.\n20% critical hit resistance."
buffDespairCounterTooltip,""
buffDespairCounterName,"Despair"
buffDespairCounterDesc,"This is a measure of how much your environment is affecting your rate of despair.\n\nPositive numbers means despair is increasing.\n\nNegative numbers means your despair is decreasing."
buffDespairAOEName,Danger
buffDespairAOEDesc,"These zombies are getting a bit too close for comfort ... \n\nEliminate them, or get the hell out of there!"
buffDespairAOETooltip,"",,,,,,,Nearby zombies are affecting your mental health.
buffDespairFeralAOEName,Danger Close
buffDespairFeralAOEDesc,"These [ffff00]zombies[-] are getting tougher \n\nYou need to be careful ..."
buffDespairFeralAOETooltip,"",,,,,,,,,Tougher zombies nearby are making your mental health worse.
buffDespairRadiatedAOEName,Grave Danger
buffDespairRadiatedAOEDesc,"What the hell!? These [00ff00]zombies[-] can regenerate?! \n\nMight need some specialized gear for these ..."
buffDespairRadiatedAOETooltip,"",,,,,,,,,,Nearby Radiated zombies are really affecting your ability to think straight ...
buffDespairMutatedAOEName,Get the hell away from me!
buffDespairMutatedAOEDesc,"What the actual F%&*?!! These [f5c71a]zombies[-] are even worse than the greenies!\n\nIf you don't have blessed metal, you'd better run ..."
buffDespairMutatedAOETooltip,"",,,,,,,,Nearby Mutated zombies are making you question your survival chances ...
buffLithiumBlockerName,"Lithium"
buffStJohnsWortBlockerName,"St. John's Wort"
buffLithiumBlockerTooltip,"The treatment from Lithium and St. John's Wort must expire before the drug can be taken again."
buffLithiumBlockerDesc,"Lithim and St. John's Wort are not candy!\n\nIt makes you thirsty, and you'll need to wait until the medication wears off before you can use it again."
buff_NoVehicle,Vehicle Subemerged
buff_NoVehicleDesc,Internal combustion engines don't work underwater!!\n\nYou'll have to put your vehicle back on dry land before it can be driven again.
buffResurrectName,Double Tap!
buffResurrectDesc,"You might wanna double check that these guys are actually dead ...\n\nDuring horde night, [FFC800]most[-] zombies have a 10% chance to respawn. Kill them with [CC5500]fire[-] damage or [CC5500]explosives[-] to ensure they stay dead."
buffCampfireAOEEffectDesc,"You are warmed by the fire.\n\nCold Resist +15\n\nThis warming effect, combined with shelter and light, can slowly reduce your despair."
buffGoodCompanyFromTraderName,Humanity
buffGoodCompanyFromTraderDesc,Your spirits are raised by being around other humans.
statCureDespair,Treat Despair
drugLithium,Lithium
drugLithiumDesc,"Lithium is the most effective treatment for despair, however, it has it's downside.\n\nEach time you use this drug, you develop a tolerance to it, reducing its efficacy over time.\n\n25% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 15%"
drugStJohnsWort,St. John's Wort
drugStJohnsWortDesc,"St. John's wort is a herbal treatment, and is effective at treating despair, however ...\n\nEach time you use this drug, your resistance to it's effects increases, reducing its efficacy over time.\n\n10% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 5%"
DespairTip,"You are overwhelmed by how hopeless the situation appears. You can combat this by staying in a well-lit area, staying warm, and staying dry.\n\nProlonged periods of being wet, in darkness, or cold temperatures will increase the rate at which your despair grows. Injuries sustained, along with hunger and thirst also have an adverse effect, as does being in close proximity to zombies.\n\nThere is medication available to reduce your symptoms, and consuming certain food or drink may help too.\n\nTreatment from consumables:\n\nCooked Canned Food: [FFC800]0.1%[-]\nBoiled egg & Charred meat: [FFC800]0.20%[-]\nTier 1 food: [FFC800]0.25%[-]\nGoldenrod & Red tea: [FFC800]0.5%[-]\nBacon & Eggs and Coffee: [FFC800]1%[-]\nTier 2 food, Blackstrap coffee,smoothies, mineral water & beer: [FFC800]2%[-]\nTier 3 food: [FFC800]3%[-]\nTier 4 food: [FFC800]5%[-]"
DespairTip_title,Despair
buffArrowBleedDesc,Your arrows & crossbow bolts have a 25% chance to make [FFC800]living[-] things bleed - when they hit that is...
buffArrowBleedName,Arrows Cause Bleed
buffArrowBleedtip,Arrows and bolts can make living things bleed
buffCorpseRunName,Corpse Run
buffCorpseRunDesc,"After your recent *ahem* 'Near Death Experience', you have a temporary boost to run speed, stamina regen, and damage resistance.\n\nTry to stay safe from now on, ok?"
buffWellFedName,Well Fed
buffWellFedDesc,"You are feeling well and truly sated, and as a result, your mental health has improved significantly.\n\nDespair will increase slower while you have this effect, and you have 2.5% better passive healing."
buffWellRestedName,Well Rested
buffWellRestedDesc,"You are thoroughly rested, and ready to take on the world!\n\n10% better stamina regen for the duration of this effect."
buffWellRestedTriggerName,Resting
buffWellRestedTriggerDesc,"After a hard day of adventuring and zombie slaying, you're ready to recharge.\n\nYou are building your strength for the next ordeal."
buffDaringAdventurerFiveDesc,"You are an Ultimate Adventurer.\n\nYou have access to the best trader items, get 25% more Dukes from quests, and a 25% better deal when buying & selling.\n\nPick three quest rewards."
buffDaringAdventurerFiveName,"Ultimate Adventurer"
buffDaringAdventurerFiveTooltip,"Your bartering & quest rewards have increased 5%!!"
buffDaringAdventurerFourDesc,"You are a Daring Adventurer.\n\nYou have access to the best trader items, get 20% more Dukes from quests, and a 20% better deal when buying & selling.\n\nPick two quest rewards."
buffDaringAdventurerFourName,"Daring Adventurer"
buffDaringAdventurerFourTooltip,"Your bartering & quest rewards have increased 5%!!"
buffDaringAdventurerOneDesc,"You are a Looter.\n\nYou have access to better trader items, get 5% more Dukes from quests, and a 5% better deal when buying & selling."
buffDaringAdventurerOneName,"Looter"
buffDaringAdventurerOneTooltip,"Your bartering & quest rewards have increased 5%!!"
buffDaringAdventurerThreeDesc,"You are a Mercenary.\n\nYou have access to better trader items, get 15% more Dukes from quests, and a 15% better deal when buying & selling."
buffDaringAdventurerThreeName,"Mercenary"
buffDaringAdventurerThreeTooltip,"Your bartering & quest rewards have increased 5%!!"
buffDaringAdventurerTwoDesc,"You are a Plunderer.\n\nYou have access to better trader items, get 10% more Dukes from quests, and a 10% better deal when buying & selling."
buffDaringAdventurerTwoName,"Plunderer"
buffDaringAdventurerTwoTooltip,"Your bartering & quest rewards have increased 5%!!"
buffDysentery01GetBetterDesc,You feel like throwing up and have the shits. That drink made you feel a bit better though.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost over time.
buffDysentery01GetBetterName,Treated Dysentery
